"['Comedy', 'Kids & Family']",2000-11-21T16:00:00-08:00,G,Buena Vista Pictures,P100M,"
    In this all new tale, Cruella De Vil is released from prison on good behavior swearing that she will have nothing to do with fur ever again in her life. She, however, cannot keep this promise and soon is plotting another ""furocious"" scheme to get her ultimate Dalmatian coat.",31
"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",2000-11-16T16:00:00-08:00,PG13,Columbia Pictures,P123M,"
    In this science-fiction thriller set in the very near future, DNA cloning has been perfected and has become an accepted part of everyday life -- cattle and fish are cloned for sale at the market, genetically engineered fruit and vegetables are found in most family's kitchens (nacho-flavored bananas, anyone?), and if your pet dies, you can even order a cloned replacement. But laws have been passed that strictly forbid the cloning of human beings. However, helicopter pilot Adam Gibson (Arnold Schwarzenegger), who believes people should live and die the old-fashioned way, discovers that someone has been violating these regulations. After Adam luckily avoids being on a copter that crashes, he comes home to discover someone has duplicated him. Now Adam is on a mission to find out who cloned him and why, as he struggles to take back his life from a scientifically created impostor, his boss Michael Drucker (Tony Goldwyn), and a pair of thugs (Sarah Wynter and Rod Rowland) who have been cloned into near-indestructibility. The 6th Day also stars Robert Duvall as cloning expert Griffin Weir, Michael Rooker as Drucker's right-hand man Robert Marshall, and Michael Rapaport as Adam's partner, Hank Morgan.",41
['Comedy'],2000-02-29T16:00:00-08:00,R,MGM Home Entertainment,P83M,"
    Noted hip-hop producer DJ Pooh, who co-wrote the urban comedy Friday, makes his directorial debut with this comedy-drama. A young African-American man is enjoying his freedom after his second stretch in prison. Under the ""three strikes and you're out"" law, another brush with the police could mean life behind bars, so he's determined to stay out of trouble. He quickly learns, however, that trouble has a way of finding him, no matter where he goes. DJ Pooh also stars in 3 Strikes, alongside N'Bushe Wright and Brian Hooks.",0
"['Animation', 'Classics', 'Comedy', 'Kids & Family', 'Mystery & Suspense']",1961-01-24T16:00:00-08:00,G,Buena Vista,P79M,"
    This Disney animated classic is based on the children's story by Dodie Smith. The story involves the canine pets of a struggling composer and his wife: Dalmatians Pongo (male) and Perdita (female). Perdita gives birth to fifteen spotted pups, cuing the entrance of the scheming Cruella De Vil. She demands that the dogs' owners sell her the pups, but she is shown the door instead. Under cover of night, Cruella arranges for the pups to be stolen. The human police are baffled, but the ""dog network"" is alerted by Pongo and sent to rescue the pups. It is discovered that Cruella has been rounding up every Dalmatian she can get her hands on, hoping to use their pelts to make one spectacular fur coat. The dogs rescue the 15 pups, plus 86 others stolen by Ms. DeVil. After an eventful escape, the 101 Dalmatians make their way home--whereupon the composer pens a hit tune, ""Dalmatian Plantation"". 101 Dalmatians represents the Disney animation staff at its very best, and as a bonus introduces the world to Cruella De Vil, one of the greatest movie villains--cartoon or ""real""--of all time. ~ Hal Erickson, Rovi",98
"['Comedy', 'Drama']",2000-02-07T16:00:00-08:00,PG13,Columbia Pictures,P103M,"
    Gwen Cummings is a successful New York writer living life in the fast lane and everyone's favorite party girl. She shares this roller-coaster lifestyle of hopping from dance club to bar to hangover with boyfriend Jasper-handsome, magnetic and equally attracted to life on the wild side. Life is just an exercise in debauchery-until Gwen's ungraceful display at her sister Lily's wedding, when she gets drunk, commandeers the limo and earns herself a DUI and 28 days in court-ordered rehab. There, Gwen comes face to face with a unique set of rules (like no cell phones) and rituals (like chanting) embraced by an assortment of fascinating fellow re-habbers: Eddie, Gerhardt, Oliver, Andrea, Roshanda, and Billie Jean. A jaded city girl to the core, Gwen is determined not to conform. Then she meets Counselor Cornell, who begins to break through her carefully constructed defenses and force her to take a closer look at who she really is. Ultimately, through the companionship of her group as well as a devastating loss, Gwen gradually loses her cynicism and begins the long struggle to take back her life. Maybe, she discovers, your insides can match your outsides.",31
"['Documentary', 'Sports & Fitness']",2000-05-11T17:00:00-07:00,G,MacGillivray Freeman Films,P40M,"
    Join some of California's most unique residents, and experience the wonders of this amazing state's farthest edges as few ever have.",86
"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",2000-06-29T17:00:00-07:00,PG,Universal Pictures,P92M,"
    The pride of Frostbite Falls and Whatsamatta U's most famous alumni find their way onto the big screen (and the real world) in this comedy inspired by the popular cartoon series. Years after their TV show is cancelled, Rocky the Flying Squirrel (voice of June Foray) and Bullwinkle J. Moose (voice of Keith Scott) are barely getting by on residual checks; they're wondering what to do next when Fearless Leader (Robert De Niro), the evil genius of Pottsylvania, transforms himself from a cartoon into a living, breathing, nasty human being, thanks to the assistance of television executive Minnie Mogul (Janeane Garofalo). With the help of his newly flesh-and-blood henchmen Boris Badenov (Jason Alexander) and Natasha Fatale (Rene Russo), Fearless Leader plots to take over the world by using television to zombify people and then persuading the masses to elect him president. Can the daring flying squirrel and the well-meaning but not especially bright moose stop them? Unlike the TV show, which made a virtue of its unsophisticated animation, The Adventures of Rocky and Bullwinkle employs a technically sophisticated blend of computer-generated animated characters (Rocky and Bullwinkle) and live actors (Fearless Leader, Boris, and Natasha). Human beings making guest appearances include Randy Quaid, John Goodman, and Jonathan Winters.",43
"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",2000-06-29T17:00:00-07:00,PG,Universal Pictures,P92M,"
    The pride of Frostbite Falls and Whatsamatta U's most famous alumni find their way onto the big screen (and the real world) in this comedy inspired by the popular cartoon series. Years after their TV show is cancelled, Rocky the Flying Squirrel (voice of June Foray) and Bullwinkle J. Moose (voice of Keith Scott) are barely getting by on residual checks; they're wondering what to do next when Fearless Leader (Robert De Niro), the evil genius of Pottsylvania, transforms himself from a cartoon into a living, breathing, nasty human being, thanks to the assistance of television executive Minnie Mogul (Janeane Garofalo). With the help of his newly flesh-and-blood henchmen Boris Badenov (Jason Alexander) and Natasha Fatale (Rene Russo), Fearless Leader plots to take over the world by using television to zombify people and then persuading the masses to elect him president. Can the daring flying squirrel and the well-meaning but not especially bright moose stop them? Unlike the TV show, which made a virtue of its unsophisticated animation, The Adventures of Rocky and Bullwinkle employs a technically sophisticated blend of computer-generated animated characters (Rocky and Bullwinkle) and live actors (Fearless Leader, Boris, and Natasha). Human beings making guest appearances include Randy Quaid, John Goodman, and Jonathan Winters.",43
"['Drama', 'Mystery & Suspense']",2000-12-24T16:00:00-08:00,PG13,Miramax,P116M,"
    Texas teenager John Grady Cole finds himself alone in the world after his mother sells the ranch where he grew up, forcing him to leave the only life he has ever known. Joined by his pal Lacey Rawlins, John Grady sets off on horseback for Mexico where the cowboy life still exists. On their way south, the two precocious horsemen encounter a variety of adventures, pick up a sidekick-a 13-year-old misfit named Blevins-and eventually arrive at a hacienda where they are hired to break horses. There, John Grady falls into an ill-fated romance with Alejandra, the beautiful daughter of a wealthy ranch owner. It is a disaster that leads to arrest, Mexican jail and a murder in self-defense-and ultimately proves to be John Grady's greatest test of maturity and manhood.",32
"['Comedy', 'Drama']",2000-09-14T17:00:00-07:00,R,DreamWorks SKG,P123M,"
    Writer and director Cameron Crowe's experiences as a teenage rock journalist -- he was a regular contributor to Rolling Stone while still in high school -- inspired this coming-of-age story about a 15-year-old boy hitting the road with an up-and-coming rock band in the early 1970s. Elaine Miller (Frances McDormand) is a bright, loving, but strict single parent whose distrust of rock music and fears about drug use have helped to drive a wedge between herself and her two children, Anita (Zooey Deschanel) and William (Patrick Fugit). Anita rebels by dropping out of school and becoming a stewardess, but William makes something of his love of rock & roll by writing album reviews for a local underground newspaper. William's work attracts the attention of Lester Bangs (Philip Seymour Hoffman), editor of renegade rock magazine Creem, who takes William under his wing and gives him his first professional writing assignment -- covering a Black Sabbath concert. While William is unable to score an interview with the headliners, the opening act, Stillwater, are more than happy to chat with a reporter, even if he's still too young to drive, and William's piece on the group in Creem gains him a new admirer in Ben Fong-Torres (Terry Chen), an editor at Rolling Stone. Torres offers William an assignment for a 3,000-word cover story on Stillwater, and over the objections of his mother (whose parting words are ""Don't use drugs!""), and after some stern advice from Bangs (who says under no circumstances should he become friends with a band he's covering), Williams joins Stillwater on tour, where he becomes friendly with guitarist Russell Hammond (Billy Crudup) and singer Jeff Bebe (Jason Lee). William also becomes enamored of Penny Lane (Kate Hudson), a groupie traveling with the band who is no older than William, but is deeply involved with Russell. Lester Bangs and Ben Fong-Torres, incidentally, were real-life rock writers Crowe worked with closely during his days as a journalist. Almost Famous' original score was composed by Nancy Wilson of Heart (who is also Crowe's wife). ~ Mark Deming, Rovi",89
